,word,count,contains,linenum
0,twinkle,2,contains both V and C,[1]
1,little,1,contains both V and C,[1]
2,star,1,contains both V and C,[1]
3,how,1,contains both V and C,[2]
4,I,1,contains only V,[2]
5,wonder,1,contains both V and C,[2]
6,what,1,contains both V and C,[2]
7,you,1,contains both V and C,[2]
8,are,1,contains both V and C,[2]
9,up,1,contains both V and C,[3]
10,above,1,contains both V and C,[3]
11,the,2,contains both V and C,"[3, 4]"
12,mount,1,contains both V and C,[3]
13,so,1,contains both V and C,[3]
14,high,1,contains both V and C,[3]
15,like,1,contains both V and C,[4]
16,a,1,contains only V,"[1, 2, 3, 4]"
17,diamond,1,contains both V and C,[4]
18,in,1,contains both V and C,"[1, 4]"
19,sky,1,contains only C,[4]
